run_id	model	arm	seed	temperature	num_ctx	num_predict	prompt_sha	prompt_eval_count	eval_count	done_reason	wall_ms	content_chars	content_file
deepseek-r1_14b-armA-d1	deepseek-r1:14b	A	1	0.8	16384	12288	48d960af65f2fd96	3104	1097	stop	46954	251	deepseek-r1_14b-armA-d1.txt
deepseek-r1_14b-armA-d2	deepseek-r1:14b	A	2	0.8	16384	12288	48d960af65f2fd96	3104	1229	stop	28251	2520	deepseek-r1_14b-armA-d2.txt
deepseek-r1_14b-armA-d3	deepseek-r1:14b	A	3	0.8	16384	12288	48d960af65f2fd96	3104	866	stop	19916	1349	deepseek-r1_14b-armA-d3.txt
deepseek-r1_14b-armB-d1	deepseek-r1:14b	B	1	0.8	16384	12288	8b8ffc180b391a84	3395	1770	stop	44865	2209	deepseek-r1_14b-armB-d1.txt
deepseek-r1_14b-armB-d2	deepseek-r1:14b	B	2	0.8	16384	12288	8b8ffc180b391a84	3395	1355	stop	31635	3848	deepseek-r1_14b-armB-d2.txt
deepseek-r1_14b-armB-d3	deepseek-r1:14b	B	3	0.8	16384	12288	8b8ffc180b391a84	3395	2234	stop	52439	3792	deepseek-r1_14b-armB-d3.txt
qwen3_14b-armA-d1	qwen3:14b	A	1	0.8	16384	12288	48d960af65f2fd96	3116	888	stop	41613	3781	qwen3_14b-armA-d1.txt
qwen3_14b-armA-d2	qwen3:14b	A	2	0.8	16384	12288	48d960af65f2fd96	3116	1100	stop	25017	4731	qwen3_14b-armA-d2.txt
qwen3_14b-armA-d3	qwen3:14b	A	3	0.8	16384	12288	48d960af65f2fd96	3116	1663	stop	37952	7042	qwen3_14b-armA-d3.txt
qwen3_14b-armB-d1	qwen3:14b	B	1	0.8	16384	12288	8b8ffc180b391a84	3407	1643	stop	41210	6612	qwen3_14b-armB-d1.txt
qwen3_14b-armB-d2	qwen3:14b	B	2	0.8	16384	12288	8b8ffc180b391a84	3407	1403	stop	32488	5218	qwen3_14b-armB-d2.txt
qwen3_14b-armB-d3	qwen3:14b	B	3	0.8	16384	12288	8b8ffc180b391a84	3407	1685	stop	38631	6686	qwen3_14b-armB-d3.txt
qwen3_5_9b-armA-d1	qwen3.5:9b	A	1	0.8	16384	12288	48d960af65f2fd96	3193	9272	stop	205910	35713	qwen3_5_9b-armA-d1.txt
qwen3_5_9b-armA-d2	qwen3.5:9b	A	2	0.8	16384	12288	48d960af65f2fd96	3193	1274	stop	26499	5351	qwen3_5_9b-armA-d2.txt
qwen3_5_9b-armA-d3	qwen3.5:9b	A	3	0.8	16384	12288	48d960af65f2fd96	3193	1755	stop	36351	7311	qwen3_5_9b-armA-d3.txt
qwen3_5_9b-armB-d1	qwen3.5:9b	B	1	0.8	16384	12288	8b8ffc180b391a84	3495	2396	stop	50996	9510	qwen3_5_9b-armB-d1.txt
qwen3_5_9b-armB-d2	qwen3.5:9b	B	2	0.8	16384	12288	8b8ffc180b391a84	3495	2821	stop	58567	10605	qwen3_5_9b-armB-d2.txt
qwen3_5_9b-armB-d3	qwen3.5:9b	B	3	0.8	16384	12288	8b8ffc180b391a84	3495	2287	stop	47451	8588	qwen3_5_9b-armB-d3.txt
